step,reward,reward_std,kl,entropy,mean_length,max_length,clipped_ratio,grad_norm,loss,step_time
73,0.7239,0.02814,0.02293,0.3198,294.1,462,0,0.08008,0.002294,110.6
74,0.7311,0.04042,0.02586,0.4111,348.7,632,0,0.07715,0.002586,153.6
75,0.737,0.03555,0.03156,0.3675,332.6,513,0,0.06543,0.003156,125.1
76,0.7211,0.05129,0.0323,0.3125,316.4,495,0,0.06982,0.00323,118.9
77,0.7325,0.03378,0.02938,0.3325,297.7,361,0,0.06934,0.002938,89.97
78,0.7046,0.02344,0.03202,0.3717,337.4,419,0,0.1445,0.003202,103
79,0.7528,0.02719,0.03565,0.3396,301.5,400,0,0.07324,0.003565,98.9
80,0.7433,0.05454,0.1114,0.2779,287.1,409,0,0.3535,0.01114,100.1
81,0.7236,0.05281,0.04799,0.3582,293.6,548,0,0.0791,0.0048,130.3
82,0.7193,0.05248,0.03926,0.4318,306.8,396,0,0.07031,0.003926,97.72
83,0.7165,0.07623,0.04813,0.4293,280.6,505,0,0.08887,0.004813,120
84,0.6811,0.04722,0.04864,0.3805,274.6,392,0,0.0957,0.004864,96.61
85,0.7013,0.06317,0.04403,0.4949,306.8,421,0,0.07666,0.004403,104.9
86,0.7268,0.05926,0.05152,0.5178,314.3,462,0,0.08643,0.005151,111.2
87,0.6737,0.1752,0.06152,0.4323,256.2,434,0,0.3809,0.006152,105
88,0.7176,0.0451,0.06125,0.5238,297.2,488,0,0.08789,0.006125,117.5
89,0.7282,0.06373,0.06029,0.5005,307.7,506,0,0.07324,0.006029,119.2
90,0.7458,0.04995,0.05738,0.4939,281.1,341,0,0.0708,0.005738,85.24
91,0.7515,0.05223,0.06359,0.4687,276.7,387,0,0.07568,0.006359,92.69
92,0.7165,0.04318,0.06552,0.4599,290.4,407,0,0.0708,0.006552,100.3
93,0.7398,0.05326,0.05329,0.4838,322.5,485,0,0.07617,0.005329,120.2
94,0.7586,0.04132,0.06307,0.3696,273.8,460,0,0.08838,0.006307,114
95,0.7543,0.04301,0.05777,0.408,298.6,505,0,0.07422,0.005778,121.6
96,0.7493,0.03668,0.05988,0.3067,287,419,0,0.07031,0.005988,103.5
97,0.7617,0.03057,0.07158,0.3855,289.9,487,0,0.08643,0.007157,117.6
98,0.7571,0.05047,0.06678,0.3748,309.9,486,0,0.08545,0.006678,120.4
99,0.743,0.05605,0.06681,0.3601,281.6,367,0,0.09863,0.006682,92.5
100,0.7758,0.03505,0.07907,0.276,296.2,412,0,0.07959,0.007907,102.2
101,0.7373,0.04324,0.08289,0.2821,283.2,388,0,0.09814,0.008289,95.59
102,0.7413,0.03294,0.2177,0.2856,274.1,424,0,0.75,0.02177,104.3
103,0.7311,0.0465,0.0627,0.2671,302.2,362,0,0.06982,0.00627,91.42
104,0.7008,0.03523,0.04618,0.31,292.9,430,0,0.08838,0.004617,104.2
105,0.7065,0.02795,0.06773,0.2804,259.2,305,0,0.0874,0.006773,78.41
106,0.6891,0.02451,0.05618,0.3576,294.6,437,0,0.07812,0.005617,106.6
107,0.6805,0.02227,0.04656,0.3059,280.6,410,0,0.07227,0.004656,104.2
108,0.6839,0.02183,0.04577,0.3349,283.7,354,0,0.06445,0.004576,87.91
109,0.6713,0.02195,0.05703,0.3121,267.8,337,0,0.07324,0.005703,86.98
110,0.6908,0.02852,0.0538,0.2944,271.4,339,0,0.06006,0.00538,86.08
111,0.6931,0.03043,0.0815,0.3273,290.1,341,0,0.1787,0.008149,86.16
112,0.6663,0.02519,0.04569,0.3428,264.5,305,0,0.09033,0.00457,78.41
113,0.683,0.03007,0.04481,0.3325,258.2,337,0,0.09814,0.004481,83.58
114,0.6803,0.03286,0.03876,0.3707,279.8,400,0,0.08447,0.003876,102.3
115,0.6581,0.0299,0.04198,0.4111,270.1,412,0,0.09229,0.004198,102.5
116,0.6573,0.02679,0.04471,0.3801,285.7,421,0,0.06689,0.004471,107.1
117,0.682,0.04712,0.04341,0.3828,272.2,343,0,0.08691,0.004341,86.19
118,0.6784,0.02594,0.04767,0.3942,282.3,421,0,0.08154,0.004767,104.9
119,0.6573,0.0302,0.04948,0.3946,247.5,349,0,0.0791,0.004947,87.41
120,0.6782,0.02099,0.06812,0.4718,267.4,369,0,0.08057,0.006813,91.29
121,0.6773,0.02232,0.04691,0.5091,301,388,0,0.07227,0.004692,99.31
122,0.6889,0.03418,0.08835,0.4465,271.6,435,0,0.07861,0.008835,103.7
123,0.6874,0.02983,0.06613,0.418,262,339,0,0.07568,0.006614,86.03
124,0.6909,0.04665,0.08733,0.4245,267.3,355,0,0.1138,0.008732,91.92
125,0.7169,0.04597,0.09028,0.4548,270.2,368,0,0.08496,0.009028,89.63
126,0.7073,0.05005,0.09044,0.4475,259.3,335,0,0.08301,0.009044,84.58
127,0.7559,0.05106,0.08766,0.4277,308.2,502,0,0.08789,0.008766,120.2
128,0.7605,0.06284,0.08832,0.5498,302.1,442,0,0.08691,0.008832,107.8
129,0.7487,0.05426,0.08172,0.564,349.5,450,0,0.07861,0.008172,109.8
130,0.7471,0.0434,0.119,0.4015,258.6,332,0,0.0957,0.0119,83.34
131,0.7583,0.03129,0.1088,0.4411,280.9,400,0,0.09424,0.01088,96.79
132,0.7759,0.02582,0.1438,0.4014,288.3,419,0,0.1128,0.01438,105.3
133,0.765,0.04126,0.1259,0.44,276.2,373,0,0.09082,0.01258,91.98
134,0.7833,0.03663,0.09541,0.4634,341.9,522,0,0.1084,0.009541,125.5
135,0.7905,0.03915,0.1379,0.3294,277.8,527,0,0.1089,0.01379,129.6
136,0.7981,0.02944,0.1361,0.3911,259.7,309,0,0.09521,0.01361,80.44
137,0.7994,0.02385,0.133,0.3159,264.5,347,0,0.08057,0.0133,88.12
138,0.7706,0.02927,0.118,0.3518,278.5,407,0,0.06689,0.0118,103.2
139,0.7575,0.05343,0.1184,0.4247,311.7,488,0,0.09375,0.01184,117.6
140,0.7577,0.0382,0.13,0.4066,284.4,353,0,0.09082,0.013,87.56
141,0.7684,0.05671,0.1373,0.4062,270.9,426,0,0.09131,0.01373,102.4
142,0.7811,0.0426,0.1011,0.4408,313.9,502,0,0.07617,0.01011,122.5
143,0.7816,0.04217,0.1377,0.3994,257.7,336,0,0.08105,0.01377,85.29
144,0.7647,0.03551,0.122,0.4592,284.8,444,0,0.07861,0.0122,111.3
145,0.7762,0.04299,0.1287,0.4273,261.8,414,0,0.08105,0.01287,100.6
146,0.7704,0.04682,0.105,0.4878,315.1,452,0,0.07617,0.0105,113.7
147,0.7654,0.03372,0.114,0.4378,285.9,419,0,0.07861,0.0114,102.4
148,0.7556,0.05538,0.09991,0.4504,278.7,415,0,0.0752,0.009991,101
149,0.7585,0.05493,0.1131,0.4569,270.1,412,0,0.1157,0.01131,101.2
