step,reward,reward_std,kl,entropy,grad_norm,loss,learning_rate,completion_length,clip_high,clip_low,step_time,epoch
56,0.7368,0.03464,0.03248,0.4901,0.04736,0.003247,9.771e-05,411.9,0,0,126,0.2533
57,0.7231,0.02813,0.03652,0.4584,0.04858,0.003651,9.76e-05,370.3,0,0,121.6,0.2578
58,0.7154,0.03269,0.03053,0.4726,0.05542,0.003054,9.749e-05,391.9,0,0,126.5,0.2622
59,0.7195,0.03748,0.03324,0.5269,0.05005,0.003324,9.737e-05,414.1,0,0,126.2,0.2667
60,0.7245,0.03465,0.04654,0.5139,0.0564,0.004654,9.725e-05,373.5,0,0,121.5,0.2711
61,0.7195,0.03927,0.02922,0.4487,0.05054,0.002922,9.713e-05,345,0,0,126.2,0.2756
62,0.7257,0.02644,0.04079,0.3501,0.0542,0.004079,9.701e-05,322.5,0,0,104.4,0.28
63,0.7276,0.04639,0.03363,0.4199,0.05859,0.003363,9.689e-05,328,0,0,109.2,0.2844
64,0.7401,0.03319,0.02404,0.4515,0.05322,0.002404,9.676e-05,383,0,0,126.2,0.2889
65,0.7283,0.04967,0.03813,0.4108,0.06152,0.003811,9.663e-05,347.4,0,0,113.4,0.2933
66,0.7307,0.04348,0.03171,0.3702,0.06226,0.003171,9.65e-05,330.4,0,0,101.1,0.2978
67,0.7243,0.04277,0.0246,0.3682,0.06689,0.00246,9.637e-05,360.8,0,0,112.9,0.3022
68,0.7453,0.03911,0.02962,0.3634,0.05713,0.002962,9.623e-05,338.4,0,0,106.9,0.3067
69,0.7472,0.04897,0.01814,0.418,0.05444,0.001813,9.609e-05,355.6,0,0,119.3,0.3111
70,0.7624,0.03079,0.02366,0.3497,0.06836,0.002366,9.595e-05,353.3,0,0,100.7,0.3156
71,0.7475,0.03905,0.0231,0.3948,0.06152,0.002311,9.58e-05,351.1,0,0,120.2,0.32
72,0.7337,0.03898,0.02811,0.331,0.06592,0.00281,9.566e-05,353,0,0,124.1,0.3244
73,0.7244,0.03245,0.02602,0.4014,0.1191,0.002602,9.551e-05,342.1,0,0,109.3,0.3289
74,0.7445,0.03342,0.02287,0.4235,0.04883,0.002286,9.536e-05,400.9,0,0,122.6,0.3333
75,0.7374,0.04315,0.02864,0.2898,0.05469,0.002864,9.52e-05,379.7,0,0,125.4,0.3378
76,0.7439,0.0301,0.03936,0.3414,0.07324,0.003933,9.505e-05,344.6,0,0,107.1,0.3422
77,0.7601,0.0267,0.03316,0.3364,0.0603,0.003316,9.489e-05,361.9,0,0,107.1,0.3467
78,0.7513,0.03384,0.04252,0.3919,0.09082,0.004252,9.473e-05,368.8,0,0,126.1,0.3511
79,0.7421,0.04999,0.03589,0.3187,0.05981,0.003588,9.457e-05,345.9,0,0,112.2,0.3556
80,0.757,0.03084,0.02646,0.3822,0.05151,0.002647,9.44e-05,386.8,0,0,123.4,0.36
81,0.7498,0.02456,0.03052,0.3548,0.0481,0.003052,9.423e-05,368.6,0,0,113.2,0.3644
82,0.7611,0.03258,0.03572,0.4221,0.06104,0.003572,9.406e-05,359.1,0,0,123.1,0.3689
83,0.7618,0.03692,0.03222,0.3636,0.05762,0.003223,9.389e-05,392.5,0,0,124.8,0.3733
84,0.7445,0.03954,0.03588,0.411,0.05518,0.003588,9.372e-05,382.9,0,0,106.7,0.3778
85,0.7553,0.03353,0.03576,0.4306,0.05957,0.003576,9.354e-05,409.9,0,0,123.9,0.3822
86,0.7587,0.02442,0.03496,0.4345,0.05688,0.003496,9.336e-05,399.9,0,0,116.5,0.3867
87,0.7275,0.04756,0.03221,0.5059,0.05469,0.00322,9.318e-05,392.8,0,0,123.4,0.3911
88,0.7493,0.03652,0.03483,0.5137,0.05566,0.003482,9.3e-05,427.4,0,0,128.3,0.3956
89,0.7379,0.03608,0.03493,0.48,0.05981,0.003493,9.281e-05,380.8,0,0,110.1,0.4
90,0.7618,0.03005,0.04372,0.418,0.06177,0.004372,9.262e-05,348.5,0,0,108.7,0.4044
91,0.7558,0.02699,0.03807,0.4552,0.07422,0.003806,9.243e-05,406.8,0,0,116.8,0.4089
92,0.7418,0.03755,0.04087,0.5003,0.05493,0.004087,9.224e-05,383.6,0,0,124.8,0.4133
93,0.7413,0.03895,0.04053,0.4182,0.0708,0.004053,9.204e-05,382.8,0,0,125.6,0.4178
94,0.7575,0.05027,0.04083,0.4716,0.05371,0.004083,9.185e-05,405.5,0,0,127.6,0.4222
95,0.7585,0.03048,0.03492,0.3972,0.052,0.003492,9.165e-05,396.2,0,0,117.4,0.4267
96,0.7583,0.04057,0.04056,0.4239,0.05591,0.004056,9.145e-05,391.8,0,0,118.9,0.4311
97,0.7541,0.02602,0.04548,0.4383,0.0625,0.004547,9.124e-05,399.3,0,0,128,0.4356
98,0.7451,0.04352,0.03199,0.4992,0.05591,0.003198,9.104e-05,404.7,0,0,128.8,0.44
99,0.7705,0.01752,0.0409,0.3638,0.0542,0.00409,9.083e-05,370.6,0,0,113,0.4444
100,0.7461,0.03724,0.03955,0.3779,0.05835,0.003955,9.062e-05,367.2,0,0,107.1,0.4489
101,0.7631,0.01986,0.03232,0.3924,0.06982,0.003233,9.041e-05,372.5,0,0,117.7,0.4533
102,0.7681,0.04839,0.04479,0.3431,0.06738,0.00448,9.019e-05,360.2,0,0,108.5,0.4578
103,0.7565,0.03859,0.04267,0.3354,0.07715,0.004268,8.998e-05,367.6,0,0,124,0.4622
104,0.7638,0.0312,0.04206,0.3315,0.0625,0.004206,8.976e-05,359.8,0,0,106.7,0.4667
105,0.757,0.02899,0.04357,0.3703,0.04907,0.004357,8.954e-05,359.4,0,0,107.3,0.4711
106,0.7585,0.04386,0.07279,0.3603,0.1738,0.007278,8.932e-05,369.5,0,0,125.7,0.4756
107,0.758,0.04305,0.05041,0.3808,0.05713,0.005041,8.909e-05,367.1,0,0,104.6,0.48
108,0.756,0.04432,0.04993,0.3645,0.05029,0.004993,8.886e-05,355.4,0,0,113.3,0.4844
109,0.7795,0.02261,0.08211,0.3324,0.1001,0.008211,8.864e-05,365,0,0,103.1,0.4889
110,0.765,0.04212,0.06008,0.3735,0.06299,0.006007,8.841e-05,385.2,0,0,108,0.4933
111,0.734,0.05352,0.05304,0.377,0.05859,0.005304,8.817e-05,353.9,0,0,106.2,0.4978
112,0.7793,0.03618,0.06095,0.36,0.05811,0.006095,8.794e-05,355.1,0,0,100.6,0.5022
113,0.7574,0.03568,0.04722,0.4125,0.0625,0.004723,8.77e-05,360,0,0,107.7,0.5067
114,0.7719,0.02928,0.07045,0.4109,0.05981,0.007045,8.746e-05,354.6,0,0,102.8,0.5111
115,0.772,0.02619,0.04985,0.405,0.05737,0.004985,8.722e-05,366.2,0,0,109.6,0.5156
116,0.7548,0.0412,0.07425,0.4591,0.06128,0.007425,8.698e-05,353.9,0,0,97.68,0.52
117,0.7402,0.0514,0.06248,0.4136,0.05103,0.006247,8.673e-05,368.4,0,0,119.5,0.5244
118,0.7542,0.02517,0.07169,0.3958,0.05566,0.007168,8.649e-05,337.8,0,0,99,0.5289
119,0.7608,0.04062,0.06642,0.3937,0.05859,0.006642,8.624e-05,364.1,0,0,109.3,0.5333
120,0.7501,0.0462,0.05856,0.513,0.05371,0.005855,8.599e-05,384.1,0,0,123.7,0.5378
121,0.7817,0.02471,0.06589,0.4704,0.05469,0.006589,8.574e-05,358.8,0,0,103.2,0.5422
122,0.7654,0.02784,0.07181,0.4341,0.05469,0.007181,8.548e-05,370.4,0,0,113.3,0.5467
123,0.7802,0.038,0.08468,0.4444,0.05249,0.008469,8.523e-05,379.1,0,0,109.3,0.5511
124,0.776,0.03106,0.08004,0.5033,0.05225,0.008005,8.497e-05,398.5,0,0,115.5,0.5556
125,0.7671,0.03577,0.07863,0.5143,0.05225,0.007863,8.471e-05,400.6,0,0,118.8,0.56
126,0.7585,0.04807,0.08382,0.452,0.04907,0.008382,8.445e-05,421.3,0,0,126.9,0.5644
127,0.7591,0.06304,0.07251,0.6583,0.05225,0.007251,8.419e-05,438.6,0,0,127.5,0.5689
128,0.7653,0.05029,0.07524,0.5745,0.05469,0.007525,8.392e-05,427.2,0,0,125.9,0.5733
129,0.7544,0.04057,0.09633,0.5159,0.06396,0.009632,8.365e-05,368.9,0,0,106.8,0.5778
130,0.7652,0.05057,0.08396,0.5619,0.05859,0.008396,8.338e-05,413.2,0,0,126.1,0.5822
131,0.7533,0.04408,0.1025,0.5022,0.05615,0.01025,8.311e-05,404.9,0,0,126,0.5867
132,0.7447,0.05703,0.1005,0.5792,0.1025,0.01005,8.284e-05,414.4,0,0,125.5,0.5911
133,0.7941,0.02454,0.08628,0.5235,0.0481,0.008628,8.257e-05,419,0,0,129,0.5956
134,0.7785,0.03387,0.1001,0.4223,0.06445,0.01001,8.229e-05,389.6,0,0,128.8,0.6
135,0.7669,0.05031,0.08739,0.4267,0.06787,0.008738,8.202e-05,326.6,0,0,100.4,0.6044
136,0.8029,0.03277,0.08349,0.3712,0.06079,0.008348,8.174e-05,344.2,0,0,105.3,0.6089
137,0.7575,0.04425,0.08131,0.4157,0.0708,0.008131,8.146e-05,379.8,0,0,110.8,0.6133
138,0.743,0.03209,0.07382,0.4023,0.05664,0.007382,8.117e-05,338.8,0,0,119.1,0.6178
139,0.7346,0.04898,0.0623,0.3861,0.0625,0.00623,8.089e-05,347.2,0,0,109.6,0.6222
140,0.7423,0.05101,0.08964,0.4078,0.1514,0.008964,8.061e-05,345.2,0,0,115.2,0.6267
141,0.7461,0.04051,0.09463,0.4219,0.1357,0.009464,8.032e-05,336.6,0,0,103.6,0.6311
142,0.7342,0.05405,0.05808,0.4394,0.05957,0.005808,8.003e-05,329.3,0,0,107.4,0.6356
143,0.7402,0.03383,0.05435,0.4317,0.06104,0.005435,7.974e-05,333.6,0,0,104.2,0.64
144,0.7385,0.0312,0.05369,0.4436,0.06396,0.005369,7.945e-05,334.9,0,0,108.6,0.6444
145,0.7336,0.04877,0.05334,0.4583,0.05957,0.005335,7.915e-05,347.4,0,0,126.5,0.6489
146,0.6995,0.03585,0.04359,0.417,0.07227,0.00436,7.886e-05,323.2,0,0,100.1,0.6533
147,0.7154,0.04842,0.1068,0.4453,0.2695,0.01068,7.856e-05,322.4,0,0,117,0.6578
148,0.7058,0.04089,0.05229,0.4391,0.06641,0.005229,7.827e-05,309.4,0,0,93.74,0.6622
149,0.7141,0.03808,0.04267,0.4747,0.2158,0.004267,7.797e-05,366.6,0,0,115.1,0.6667
150,0.6982,0.02854,0.04478,0.5426,0.06445,0.004477,7.767e-05,320.5,0,0,108.5,0.6711
151,0.6987,0.0277,0.06121,0.509,0.06494,0.006121,7.736e-05,302,0,0,100.9,0.6756
152,0.7123,0.03908,0.06217,0.4813,0.06299,0.006216,7.706e-05,337.8,0,0,101.1,0.68
153,0.7051,0.05948,0.06694,0.4314,0.07178,0.006694,7.675e-05,299.9,0,0,107.3,0.6844
154,0.7215,0.04298,0.06573,0.4098,0.05957,0.006573,7.645e-05,321.3,0,0,99.68,0.6889
155,0.7289,0.03326,0.07089,0.4507,0.05884,0.007089,7.614e-05,345.6,0,0,113.8,0.6933
156,0.738,0.03737,0.05575,0.4904,0.05396,0.005575,7.583e-05,378.9,0,0,125.3,0.6978
157,0.7292,0.04324,0.05244,0.4408,0.06299,0.005244,7.552e-05,318.8,0,0,118.8,0.7022
158,0.7546,0.03654,0.05837,0.4724,0.06226,0.005838,7.521e-05,337.1,0,0,104.5,0.7067
159,0.7282,0.04762,0.06671,0.4373,0.06201,0.006671,7.49e-05,334.2,0,0,102.2,0.7111
160,0.7275,0.02454,0.05418,0.4306,0.06128,0.005417,7.458e-05,309.4,0,0,118.2,0.7156
161,0.7281,0.03697,0.05784,0.4416,0.07471,0.005784,7.427e-05,315.8,0,0,102.5,0.72
162,0.7176,0.03959,0.06167,0.4891,0.06396,0.006167,7.395e-05,366.1,0,0,120.2,0.7244
163,0.7424,0.05089,0.05819,0.3926,0.06396,0.005819,7.363e-05,358.5,0,0,112.6,0.7289
164,0.7325,0.03839,0.07434,0.4108,0.06787,0.007434,7.331e-05,299.1,0,0,110.2,0.7333
165,0.7192,0.04571,0.06743,0.4507,0.07324,0.006743,7.299e-05,325.7,0,0,119.2,0.7378
166,0.7496,0.04036,0.05019,0.4168,0.06494,0.00502,7.267e-05,326.1,0,0,100.1,0.7422
