step,epoch,reward,reward_std,loss,kl,entropy,learning_rate,step_time_s
74,0.3289,0.7421,0.02898,0.003782,0.03782,0.4450,9.843e-05,112.2
75,0.3333,0.7220,0.05965,0.004433,0.04433,0.5134,9.837e-05,123.6
76,0.3378,0.6955,0.03716,0.004457,0.04457,0.3756,9.831e-05,124.8
77,0.3422,0.7198,0.04917,0.005269,0.05269,0.4372,9.825e-05,100.3
78,0.3467,0.7318,0.04675,0.00518,0.0518,0.4832,9.819e-05,103.1
79,0.3511,0.7263,0.04403,0.004661,0.04661,0.4548,9.812e-05,108.1
80,0.3556,0.7149,0.04723,0.005449,0.0545,0.4059,9.805e-05,103.0
81,0.3600,0.7500,0.04408,0.004329,0.04328,0.4674,9.799e-05,105.9
82,0.3644,0.7427,0.03094,0.005341,0.0534,0.4273,9.792e-05,104.8
83,0.3689,0.7635,0.03397,0.005286,0.05285,0.5230,9.785e-05,111.2
84,0.3733,0.7473,0.03932,0.006131,0.06131,0.3993,9.778e-05,105.0
85,0.3778,0.7347,0.02871,0.004875,0.04875,0.4386,9.771e-05,118.0
86,0.3822,0.7394,0.03778,0.004313,0.04313,0.4558,9.763e-05,117.8
87,0.3867,0.7404,0.03518,0.004874,0.04874,0.3877,9.756e-05,107.7
88,0.3911,0.7573,0.03205,0.005596,0.05596,0.4573,9.749e-05,117.7
89,0.3956,0.7401,0.03089,0.004558,0.0456,0.4892,9.741e-05,120.1
90,0.4000,0.7616,0.03565,0.006889,0.06889,0.4483,9.733e-05,99.0
91,0.4044,0.7623,0.02712,0.005194,0.05193,0.4831,9.725e-05,105.4
92,0.4089,0.7488,0.04436,0.0047,0.047,0.4583,9.717e-05,124.5
93,0.4133,0.7452,0.04355,0.006848,0.06848,0.6210,9.709e-05,127.4
94,0.4178,0.7598,0.03393,0.005567,0.05566,0.4972,9.701e-05,123.6
95,0.4222,0.7413,0.05894,0.01183,0.1183,0.5576,9.693e-05,108.3
96,0.4267,0.7559,0.04349,0.007884,0.07884,0.4795,9.685e-05,123.7
97,0.4311,0.7571,0.03720,0.009892,0.09892,0.5797,9.676e-05,107.6
98,0.4356,0.7443,0.05154,0.009292,0.09292,0.6133,9.667e-05,124.4
99,0.4400,0.7156,0.05971,0.009649,0.0965,0.6197,9.659e-05,128.0
100,0.4444,0.7350,0.04876,0.00918,0.09179,0.5348,9.65e-05,109.1
101,0.4489,0.7311,0.07325,0.01087,0.1087,0.4482,9.641e-05,93.4
102,0.4533,0.7477,0.05621,0.01583,0.1583,0.4754,9.632e-05,109.5
103,0.4578,0.7610,0.04983,0.01144,0.1144,0.3928,9.623e-05,109.3
104,0.4622,0.7685,0.04190,0.01014,0.1014,0.3393,9.614e-05,95.3
105,0.4667,0.7244,0.05521,0.01207,0.1207,0.3763,9.604e-05,92.1
106,0.4711,0.7404,0.06126,0.009269,0.0927,0.4710,9.595e-05,109.4
107,0.4756,0.7577,0.04911,0.006827,0.06827,0.4245,9.585e-05,110.3
108,0.4800,0.7631,0.02636,0.007417,0.07417,0.4497,9.576e-05,92.2
109,0.4844,0.7373,0.05263,0.007114,0.07114,0.4480,9.566e-05,95.6
110,0.4889,0.7362,0.04960,0.01027,0.1027,0.4430,9.556e-05,97.3
111,0.4933,0.7482,0.04319,0.007555,0.07555,0.5355,9.546e-05,116.4
112,0.4978,0.7258,0.03860,0.007282,0.07281,0.4978,9.536e-05,81.8
113,0.5022,0.7631,0.04377,0.007503,0.07503,0.4681,9.526e-05,119.7
114,0.5067,0.7361,0.04259,0.005513,0.05513,0.4766,9.515e-05,118.9
115,0.5111,0.7207,0.05454,0.005886,0.05886,0.5267,9.505e-05,108.8
116,0.5156,0.7406,0.04133,0.005475,0.05475,0.5045,9.494e-05,104.9
117,0.5200,0.7389,0.03925,0.00543,0.0543,0.4463,9.484e-05,109.6
118,0.5244,0.7128,0.04459,0.118,1.18,0.4387,9.473e-05,109.1
119,0.5289,0.7166,0.02715,0.005929,0.05929,0.3907,9.462e-05,96.8
120,0.5333,0.6992,0.04499,0.008148,0.08148,0.4196,9.451e-05,89.2
121,0.5378,0.6676,0.11770,0.005705,0.05705,0.4895,9.44e-05,109.6
122,0.5422,0.7109,0.04723,0.00509,0.05089,0.4492,9.429e-05,96.1
123,0.5467,0.6859,0.05040,0.005439,0.05439,0.4063,9.418e-05,94.9
124,0.5511,0.6909,0.04165,0.005138,0.05136,0.4484,9.406e-05,115.0
125,0.5556,0.7115,0.03277,0.004816,0.04816,0.4559,9.395e-05,105.2
126,0.5600,0.7030,0.04415,0.004971,0.0497,0.4696,9.383e-05,117.7
127,0.5644,0.7444,0.04569,0.004357,0.04357,0.4088,9.372e-05,117.7
128,0.5689,0.7539,0.04842,0.00434,0.04341,0.5577,9.36e-05,114.1
129,0.5733,0.7415,0.05181,0.004148,0.04148,0.5030,9.348e-05,128.7
130,0.5778,0.7502,0.03206,0.005114,0.05114,0.4445,9.336e-05,123.9
131,0.5822,0.7642,0.04049,0.00549,0.0549,0.4404,9.324e-05,107.4
132,0.5867,0.7589,0.03534,0.004153,0.04153,0.3713,9.312e-05,117.0
133,0.5911,0.7195,0.03404,0.00419,0.04191,0.4594,9.3e-05,122.8
134,0.5956,0.7515,0.03605,0.003353,0.03353,0.4076,9.287e-05,121.9
135,0.6000,0.7690,0.02029,0.004011,0.04011,0.3275,9.275e-05,114.1
136,0.6044,0.7641,0.02794,0.004809,0.04809,0.3313,9.262e-05,113.8
137,0.6089,0.7779,0.03391,0.005466,0.05466,0.2625,9.25e-05,103.2
138,0.6133,0.7630,0.03575,0.005036,0.05036,0.2860,9.237e-05,106.0
139,0.6178,0.7373,0.04401,0.005121,0.05121,0.3132,9.224e-05,124.6
140,0.6222,0.7466,0.03667,0.004197,0.04197,0.2903,9.211e-05,101.8
141,0.6267,0.7322,0.05653,0.003914,0.03915,0.3099,9.198e-05,126.6
142,0.6311,0.7565,0.02907,0.004182,0.04182,0.2873,9.185e-05,105.8
143,0.6356,0.7522,0.04034,0.004645,0.04645,0.3355,9.172e-05,104.3
144,0.6400,0.7273,0.04591,0.004794,0.04795,0.3262,9.158e-05,113.9
145,0.6444,0.7547,0.03623,0.005894,0.05894,0.3567,9.145e-05,120.7
146,0.6489,0.7274,0.04478,0.005333,0.05333,0.3783,9.131e-05,124.2
