step,reward,reward_std,kl,entropy,grad_norm,loss,learning_rate,completion_length,clip_high,clip_low,step_time,epoch
0,0.6457,0.02974,0,0.3085,0.05444,1.485e-06,0,263.2,0,0,80.48,0.004444
1,0.6695,0.02584,0,0.3364,0.08301,-1.229e-07,4.762e-06,262.7,0,0,79.73,0.008889
2,0.6477,0.01627,0.0005877,0.3796,0.08398,5.804e-05,9.524e-06,272.9,0,0,94.7,0.01333
3,0.652,0.02467,0.0005299,0.3003,0.07617,5.328e-05,1.429e-05,251.8,0,0,79.6,0.01778
4,0.644,0.01662,0.0005186,0.3324,0.07959,5.015e-05,1.905e-05,241.5,0,0,87.78,0.02222
5,0.6473,0.03489,0.0005231,0.3545,0.07373,5.137e-05,2.381e-05,254.8,0,0,103.9,0.02667
6,0.6464,0.02334,0.0006157,0.3135,0.06592,6.164e-05,2.857e-05,265.7,0,0,79.73,0.03111
7,0.6566,0.0341,0.0005593,0.2987,0.07227,5.512e-05,3.333e-05,261.1,0,0,88.83,0.03556
8,0.6541,0.03365,0.0005373,0.2848,0.06689,5.466e-05,3.81e-05,257.1,0,0,95.3,0.04
9,0.6603,0.0353,0.0006234,0.3462,0.06445,6.285e-05,4.286e-05,296.1,0,0,115.3,0.04444
10,0.6727,0.0288,0.0009037,0.276,0.06689,9.121e-05,4.762e-05,275.9,0,0,105.2,0.04889
11,0.6579,0.03324,0.001167,0.3445,0.06396,0.0001169,5.238e-05,278.5,0,0,103.8,0.05333
12,0.6616,0.02122,0.001612,0.2841,0.06689,0.0001622,5.714e-05,268.3,0,0,84.62,0.05778
13,0.6729,0.02336,0.003426,0.4408,0.05981,0.000346,6.19e-05,335.1,0,0,125.4,0.06222
14,0.6707,0.02669,0.004672,0.3272,0.06299,0.0004665,6.667e-05,307,0,0,108,0.06667
15,0.6754,0.03306,0.01083,0.367,0.103,0.001084,7.143e-05,339.8,0,0,123,0.07111
16,0.6915,0.03174,0.00828,0.2855,0.06689,0.0008282,7.619e-05,291.5,0,0,97.34,0.07556
17,0.6831,0.03617,0.01445,0.363,0.06299,0.001444,8.095e-05,316.9,0,0,118.4,0.08
18,0.6897,0.03518,0.01118,0.4295,0.06592,0.001118,8.571e-05,347.4,0,0,105.1,0.08444
19,0.735,0.04155,0.01522,0.3704,0.06226,0.001521,9.048e-05,394,0,0,125.2,0.08889
20,0.7211,0.03017,0.01586,0.3375,0.06836,0.001585,9.524e-05,349.9,0,0,124.7,0.09333
21,0.6987,0.04186,0.02476,0.4031,0.07666,0.002476,0.0001,336.9,0,0,112.8,0.09778
22,0.7126,0.03171,0.03582,0.4112,0.07373,0.00358,0.0001,334.4,0,0,102.3,0.1022
23,0.7251,0.02824,0.03428,0.4612,0.07666,0.003428,0.0001,346.6,0,0,99.27,0.1067
24,0.7238,0.036,0.03166,0.4795,0.0752,0.003166,9.999e-05,376.7,0,0,125,0.1111
25,0.7354,0.02223,0.03798,0.4522,0.06592,0.003798,9.999e-05,350.8,0,0,112,0.1156
26,0.7391,0.03529,0.03491,0.4277,0.07031,0.003492,9.999e-05,368.5,0,0,115.5,0.12
27,0.7256,0.04104,0.03243,0.4209,0.07764,0.003243,9.998e-05,346.6,0,0,102.3,0.1244
28,0.7206,0.04785,0.04612,0.4157,0.08057,0.004613,9.997e-05,340,0,0,124.2,0.1289
29,0.7237,0.03029,0.03685,0.4806,0.06494,0.003684,9.996e-05,377.2,0,0,122.4,0.1333
30,0.7323,0.04707,0.0361,0.5466,0.06396,0.003611,9.995e-05,405.6,0,0,122.6,0.1378
31,0.7118,0.04386,0.06586,0.4322,0.1826,0.006586,9.994e-05,312.1,0,0,113.8,0.1422
32,0.732,0.04238,0.02629,0.4221,0.05688,0.002629,9.993e-05,346.4,0,0,104.4,0.1467
33,0.723,0.03119,0.03934,0.3458,0.07715,0.003934,9.992e-05,283.8,0,0,86.87,0.1511
34,0.6994,0.02876,0.02418,0.3316,0.06348,0.002418,9.99e-05,291.6,0,0,96.54,0.1556
35,0.7215,0.01979,0.03092,0.3485,0.06982,0.003093,9.989e-05,285.1,0,0,88.9,0.16
36,0.6781,0.1351,0.02939,0.327,0.4395,0.002938,9.987e-05,317,0,0,108.8,0.1644
37,0.711,0.04768,0.01468,0.3555,0.06152,0.001468,9.985e-05,298.3,0,0,98.17,0.1689
38,0.7027,0.03899,0.03024,0.3541,0.06738,0.003024,9.983e-05,287.6,0,0,95.25,0.1733
39,0.7063,0.035,0.04079,0.3013,0.1074,0.004078,9.981e-05,302.4,0,0,104.6,0.1778
40,0.6866,0.03543,0.01309,0.3613,0.05884,0.001309,9.979e-05,295,0,0,95.97,0.1822
41,0.7096,0.03761,0.0122,0.3591,0.05786,0.001219,9.977e-05,300.5,0,0,102.5,0.1867
42,0.7157,0.03761,0.01078,0.3671,0.05981,0.001077,9.974e-05,303.2,0,0,105.6,0.1911
43,0.7119,0.04631,0.01343,0.3447,0.08496,0.001344,9.972e-05,322.4,0,0,102.9,0.1956
44,0.6798,0.03522,0.01451,0.3956,0.07129,0.001451,9.969e-05,268.5,0,0,101.1,0.2
45,0.6887,0.04013,0.01635,0.3395,0.06299,0.001635,9.967e-05,290,0,0,90.8,0.2044
46,0.672,0.02863,0.01376,0.3359,0.05737,0.001376,9.964e-05,283.6,0,0,93.82,0.2089
47,0.6984,0.04295,0.01205,0.4714,0.05835,0.001206,9.961e-05,316.5,0,0,112.9,0.2133
48,0.7046,0.04782,0.01816,0.4198,0.04785,0.001817,9.958e-05,303.1,0,0,112.2,0.2178
49,0.6903,0.04735,0.02018,0.3876,0.07227,0.002018,9.954e-05,281.1,0,0,91.28,0.2222
50,0.7102,0.04275,0.02425,0.4249,0.06348,0.002425,9.951e-05,336.4,0,0,107.6,0.2267
51,0.6916,0.02537,0.0251,0.418,0.07666,0.00251,9.948e-05,297.4,0,0,98.52,0.2311
52,0.7131,0.04704,0.02795,0.3714,0.05298,0.002796,9.944e-05,288.9,0,0,91.49,0.2356
53,0.7321,0.03314,0.02428,0.4016,0.06396,0.002428,9.941e-05,278.4,0,0,92.57,0.24
54,0.7098,0.03811,0.02274,0.4186,0.05591,0.002274,9.937e-05,292.9,0,0,86.66,0.2444
55,0.6996,0.03948,0.08725,0.4292,0.5039,0.008726,9.933e-05,317,0,0,93.86,0.2489
56,0.7116,0.04832,0.02849,0.4388,0.06787,0.002848,9.929e-05,315,0,0,122.4,0.2533
57,0.7262,0.03276,0.02453,0.459,0.05957,0.002453,9.925e-05,293.1,0,0,115.3,0.2578
58,0.7189,0.04492,0.02475,0.4221,0.0564,0.002476,9.921e-05,306.2,0,0,97.57,0.2622
59,0.696,0.04955,0.02226,0.463,0.05078,0.002227,9.916e-05,325.2,0,0,124.3,0.2667
60,0.7042,0.04283,0.02489,0.4758,0.05493,0.002489,9.912e-05,299.2,0,0,90.36,0.2711
61,0.6918,0.04536,0.02014,0.4377,0.04858,0.002014,9.907e-05,295.1,0,0,88.57,0.2756
62,0.6897,0.02917,0.0294,0.3886,0.05518,0.00294,9.902e-05,277.1,0,0,109.4,0.28
63,0.715,0.05128,0.03761,0.4314,0.04883,0.003761,9.898e-05,281.6,0,0,104,0.2844
64,0.7125,0.04822,0.02106,0.545,0.05518,0.002106,9.893e-05,356.1,0,0,126.5,0.2889
65,0.7141,0.0494,0.02633,0.4489,0.04736,0.002633,9.888e-05,322.7,0,0,105.7,0.2933
66,0.7216,0.05028,0.02984,0.4164,0.05981,0.002983,9.883e-05,274.2,0,0,97.76,0.2978
67,0.7041,0.0444,0.01963,0.4472,0.0542,0.001964,9.877e-05,337.1,0,0,102,0.3022
68,0.7194,0.04193,0.02789,0.3981,0.05908,0.00279,9.872e-05,299.2,0,0,106.7,0.3067
69,0.7092,0.05177,0.03015,0.4701,0.05981,0.003015,9.866e-05,307.2,0,0,102.6,0.3111
70,0.7454,0.03351,0.02326,0.4092,0.05151,0.002325,9.861e-05,320.4,0,0,120.8,0.3156
71,0.7194,0.04147,0.02588,0.4731,0.05664,0.002589,9.855e-05,321.9,0,0,115.7,0.32
72,0.7196,0.02491,0.03625,0.369,0.06177,0.003625,9.849e-05,276.8,0,0,89.14,0.3244
73,0.7164,0.02898,0.02946,0.4191,0.06396,0.002946,9.843e-05,290.7,0,0,98.09,0.3289
74,0.7467,0.03088,0.04006,0.4327,0.05835,0.004006,9.837e-05,318.6,0,0,121,0.3333
75,0.7049,0.0371,0.04911,0.3196,0.08984,0.004912,9.831e-05,295.7,0,0,122.9,0.3378
76,0.734,0.04904,0.04927,0.3302,0.06299,0.004927,9.825e-05,255.8,0,0,83.82,0.3422
77,0.7178,0.04293,0.154,0.405,5.5,0.0154,9.819e-05,294.8,0,0,84.88,0.3467
78,0.7276,0.04029,0.04562,0.3531,0.06494,0.004562,9.812e-05,289.2,0,0,87.05,0.3511
79,0.7162,0.0438,0.06314,0.3035,0.07422,0.006313,9.805e-05,270.4,0,0,95.54,0.3556
80,0.7025,0.04924,0.04483,0.3435,0.09961,0.004484,9.799e-05,277.2,0,0,96.13,0.36
81,0.7168,0.05591,0.05104,0.327,0.06787,0.005103,9.792e-05,268.1,0,0,85.32,0.3644
82,0.7017,0.04846,0.05676,0.4043,0.0791,0.005676,9.785e-05,265.6,0,0,84.94,0.3689
83,0.7225,0.04503,0.04522,0.3175,0.06494,0.004522,9.778e-05,292.8,0,0,92.82,0.3733
84,0.709,0.04342,0.05644,0.3466,0.07178,0.005645,9.771e-05,274.1,0,0,85.97,0.3778
85,0.7197,0.04681,0.04509,0.3307,0.08252,0.004509,9.763e-05,295.2,0,0,116.9,0.3822
86,0.7399,0.0348,0.07121,0.3056,0.07617,0.00712,9.756e-05,263.6,0,0,95.88,0.3867
87,0.7188,0.05134,0.07073,0.3589,0.06934,0.007074,9.749e-05,263.1,0,0,86.81,0.3911
88,0.7131,0.03499,0.06155,0.3689,0.0708,0.006156,9.741e-05,308.8,0,0,99.18,0.3956
89,0.732,0.03311,0.06275,0.358,0.08594,0.006276,9.733e-05,271.5,0,0,82.65,0.4
90,0.7349,0.03812,0.07978,0.2985,0.07861,0.007978,9.725e-05,227.9,0,0,75.76,0.4044
91,0.7238,0.04596,0.04847,0.3571,0.06934,0.004847,9.717e-05,281.3,0,0,94.27,0.4089
92,0.7239,0.04545,0.06377,0.453,0.1582,0.006377,9.709e-05,319.9,0,0,104,0.4133
93,0.7581,0.03532,0.05009,0.3288,0.07031,0.005009,9.701e-05,275.5,0,0,99.97,0.4178
94,0.7357,0.04739,0.04469,0.3987,0.06787,0.004469,9.693e-05,303.5,0,0,119.2,0.4222
95,0.7029,0.04948,0.04293,0.3179,0.06641,0.004293,9.685e-05,286.1,0,0,101.8,0.4267
96,0.7427,0.0504,0.06411,0.3604,0.07666,0.006412,9.676e-05,273.3,0,0,105,0.4311
97,0.7137,0.04893,0.0377,0.3872,0.06543,0.00377,9.667e-05,317,0,0,125.1,0.4356
98,0.7031,0.03903,0.04684,0.4565,0.0791,0.004685,9.659e-05,347.4,0,0,118.3,0.44
99,0.7123,0.05183,0.04702,0.3273,0.07178,0.004701,9.65e-05,267.6,0,0,83.71,0.4444
100,0.74,0.04021,0.044,0.3597,0.06738,0.0044,9.641e-05,281.6,0,0,94.77,0.4489
101,0.7123,0.03986,0.04006,0.46,0.06299,0.004004,9.632e-05,355.4,0,0,126.8,0.4533
102,0.7223,0.04136,0.04122,0.3566,0.06299,0.004122,9.623e-05,312.1,0,0,109.1,0.4578
103,0.7284,0.05018,0.03616,0.334,0.05591,0.003616,9.614e-05,291.4,0,0,104,0.4622
104,0.7347,0.04717,0.03499,0.3129,0.05713,0.0035,9.604e-05,290.1,0,0,111.1,0.4667
105,0.7439,0.04815,0.06545,0.3939,0.08203,0.006545,9.595e-05,293.9,0,0,123.7,0.4711
106,0.7402,0.05222,0.04517,0.3421,0.06348,0.004517,9.585e-05,282.1,0,0,114.5,0.4756
107,0.7396,0.03884,0.04643,0.3892,0.06152,0.004644,9.576e-05,286.1,0,0,94.73,0.48
108,0.7307,0.04159,0.05094,0.3426,0.06689,0.005094,9.566e-05,260.1,0,0,99.97,0.4844
109,0.7383,0.04497,0.05098,0.3048,0.06592,0.005098,9.556e-05,269.1,0,0,91.9,0.4889
110,0.7447,0.04568,0.04046,0.3522,0.06299,0.004046,9.546e-05,286.3,0,0,102.5,0.4933
111,0.7129,0.04171,0.05895,0.3856,0.06348,0.005895,9.536e-05,290.9,0,0,109.3,0.4978
112,0.7798,0.05513,0.06167,0.3306,0.08008,0.006167,9.526e-05,273.6,0,0,117.5,0.5022
113,0.7332,0.05522,0.04448,0.3307,0.06152,0.004448,9.515e-05,281.5,0,0,97.4,0.5067
114,0.7213,0.0459,0.06216,0.3743,0.07666,0.006216,9.505e-05,299.2,0,0,107.7,0.5111
115,0.7248,0.06258,0.03437,0.3645,0.07568,0.003437,9.494e-05,301.9,0,0,111.8,0.5156
116,0.7046,0.03963,0.036,0.3148,0.06982,0.003601,9.484e-05,277.8,0,0,90.11,0.52
117,0.7241,0.04833,0.03728,0.3422,0.06128,0.003728,9.473e-05,328.4,0,0,119.2,0.5244
118,0.7308,0.03257,0.04097,0.3341,0.06592,0.004096,9.462e-05,277.3,0,0,97.75,0.5289
119,0.7068,0.04395,0.08381,0.307,0.1787,0.008381,9.451e-05,265.1,0,0,89.31,0.5333
120,0.6855,0.04837,0.02125,0.4941,0.05225,0.002125,9.44e-05,371.9,0,0,125.9,0.5378
121,0.7114,0.03499,0.02453,0.3347,0.06836,0.002453,9.429e-05,303.4,0,0,97.36,0.5422
122,0.7169,0.04697,0.02655,0.3853,0.06787,0.002656,9.418e-05,264,0,0,86.01,0.5467
123,0.7173,0.04847,0.02977,0.3666,0.06104,0.002977,9.406e-05,308.9,0,0,109.2,0.5511
124,0.7027,0.03608,0.02438,0.383,0.06177,0.002439,9.395e-05,294.6,0,0,103.1,0.5556
125,0.6791,0.03329,0.0303,0.4057,0.06396,0.00303,9.383e-05,309.9,0,0,122,0.56
126,0.7107,0.06106,0.02116,0.3469,0.05835,0.002116,9.372e-05,329.2,0,0,112,0.5644
127,0.7262,0.0625,0.0245,0.5321,0.06836,0.00245,9.36e-05,342.2,0,0,115.1,0.5689
128,0.7047,0.04868,0.02198,0.4401,0.06055,0.002198,9.348e-05,336.2,0,0,121.5,0.5733
129,0.6905,0.02853,0.02542,0.3388,0.06836,0.002542,9.336e-05,270.6,0,0,95.56,0.5778
130,0.7102,0.04579,0.03341,0.4014,0.0708,0.003341,9.324e-05,292.7,0,0,98.62,0.5822
131,0.7001,0.04847,0.03231,0.3617,0.09375,0.003231,9.312e-05,285.1,0,0,103.7,0.5867
132,0.7134,0.03956,0.03487,0.4375,0.07764,0.003487,9.3e-05,300.9,0,0,100.8,0.5911
133,0.7227,0.04316,0.02129,0.3976,0.05615,0.002128,9.287e-05,339.9,0,0,113.9,0.5956
134,0.7199,0.03212,0.02482,0.2706,0.06494,0.002482,9.275e-05,271.4,0,0,91.01,0.6
135,0.7236,0.05053,0.03434,0.3214,0.07275,0.003434,9.262e-05,252.9,0,0,81.19,0.6044
136,0.7159,0.05345,0.03219,0.278,0.05957,0.003219,9.25e-05,276.2,0,0,86.25,0.6089
137,0.7338,0.0259,0.03176,0.3083,0.07227,0.003176,9.237e-05,297.7,0,0,100.8,0.6133
138,0.7154,0.04626,0.03362,0.3098,0.06494,0.003362,9.224e-05,274.9,0,0,106,0.6178
139,0.718,0.04483,0.0421,0.3221,0.06738,0.00421,9.211e-05,284.7,0,0,89.59,0.6222
140,0.7178,0.0488,0.03414,0.3125,0.07031,0.003413,9.198e-05,288.7,0,0,90.66,0.6267
141,0.7384,0.04009,0.03096,0.3007,0.0625,0.003096,9.185e-05,311.5,0,0,112.8,0.6311
142,0.738,0.03161,0.03745,0.3017,0.08398,0.003745,9.172e-05,276.3,0,0,95.65,0.6356
143,0.7185,0.03401,0.03526,0.3345,0.05737,0.003526,9.158e-05,304.6,0,0,110.3,0.64
144,0.7289,0.05002,0.06311,0.3325,0.6562,0.006311,9.145e-05,285.4,0,0,104.4,0.6444
145,0.7379,0.0261,0.02308,0.4102,0.05713,0.002308,9.131e-05,359.2,0,0,115.9,0.6489
