step,reward,kl,grad_norm,loss,learning_rate,completion_length,step_time,epoch
75,0.6855,0.01151,0.0481,0.001151,8.607e-05,285.5,133.1,0.6786
76,0.6895,0.008921,0.04663,0.0008911,8.566e-05,317.8,119.6,0.6875
77,0.6729,0.01211,0.04956,0.001213,8.525e-05,302.1,101.8,0.6964
78,0.6923,0.01549,0.05615,0.001549,8.484e-05,304.6,102.5,0.7054
79,0.6882,0.008864,0.05981,0.0008862,8.442e-05,309.6,129.3,0.7143
80,0.6808,0.01231,0.04346,0.001231,8.4e-05,274.4,97.02,0.7232
81,0.7054,0.01649,0.06226,0.00165,8.357e-05,304.9,100.2,0.7321
82,0.6835,0.01201,0.05664,0.001201,8.314e-05,264.1,109.1,0.7411
83,0.7087,0.01119,0.05713,0.00112,8.27e-05,276.9,97.25,0.75
84,0.6832,0.0152,0.05273,0.001519,8.226e-05,273.1,94.2,0.7589
85,0.7017,0.01716,0.05688,0.001718,8.182e-05,265.1,93.58,0.7679
86,0.7133,0.01812,0.05127,0.001812,8.137e-05,300.6,123.6,0.7768
87,0.6909,0.01635,0.05151,0.001636,8.091e-05,304,102.4,0.7857
88,0.7202,0.01685,0.1309,0.001686,8.046e-05,279.3,89.76,0.7946
89,0.7046,0.01527,0.04468,0.001526,8e-05,293.1,106.1,0.8036
90,0.7118,0.01221,0.0498,0.00122,7.953e-05,293.2,93.65,0.8125
91,0.7089,0.02092,0.04688,0.002092,7.906e-05,315.8,118.1,0.8214
92,0.7035,0.0241,0.05103,0.002411,7.859e-05,297.9,106.9,0.8304
93,0.7184,0.01359,0.04736,0.001359,7.811e-05,332.9,110.4,0.8393
94,0.7178,0.01459,0.04443,0.00146,7.763e-05,321.1,115.3,0.8482
95,0.716,0.01965,0.04956,0.001965,7.714e-05,295.4,109.7,0.8571
96,0.7205,0.02062,0.04834,0.002057,7.665e-05,330.8,130.7,0.8661
97,0.71,0.01631,0.04175,0.001622,7.616e-05,323.3,107.1,0.875
98,0.7186,0.01942,0.05029,0.001941,7.567e-05,310,96.84,0.8839
99,0.7315,0.01938,0.04688,0.001935,7.517e-05,322.5,132.9,0.8929
100,0.7374,0.02036,0.04272,0.002034,7.466e-05,350.6,111.1,0.9018
101,0.7069,0.01819,0.05078,0.001819,7.416e-05,326.5,114.5,0.9107
102,0.7362,0.01657,0.04932,0.001656,7.365e-05,326.4,107.1,0.9196
103,0.7074,0.02074,0.05103,0.002073,7.314e-05,327.8,120,0.9286
104,0.7111,0.01961,0.04614,0.001961,7.262e-05,395.8,128.6,0.9375
105,0.7192,0.03467,0.09814,0.003467,7.21e-05,288.6,97.69,0.9464
106,0.7185,0.01936,0.05176,0.001937,7.158e-05,308.8,116,0.9554
107,0.7338,0.02114,0.0498,0.002109,7.106e-05,352,121.3,0.9643
108,0.7236,0.02129,0.04663,0.002129,7.053e-05,355.9,129.3,0.9732
109,0.712,0.02311,0.04761,0.002311,7e-05,326.4,126.5,0.9821
110,0.7399,0.02306,0.04932,0.002305,6.947e-05,389.8,132.1,0.9911
111,0.7113,0.0222,0.05322,0.00222,6.893e-05,295.6,108.8,1
112,0.7074,0.02642,0.04126,0.002633,6.84e-05,319.8,109.5,1.009
113,0.7108,0.02663,0.04712,0.002663,6.786e-05,317.7,122.9,1.018
114,0.7148,0.03183,0.05127,0.00318,6.731e-05,307.7,108.5,1.027
115,0.7219,0.0187,0.05078,0.00187,6.677e-05,332.8,131.1,1.036
116,0.6986,0.0183,0.03906,0.001832,6.622e-05,331.9,123.7,1.045
117,0.7266,0.02338,0.04663,0.002338,6.567e-05,283.6,114.3,1.054
118,0.7116,0.0315,0.05566,0.00315,6.512e-05,266.1,102.8,1.062
119,0.7231,0.02443,0.05298,0.002442,6.457e-05,294.8,104.9,1.071
120,0.7144,0.033,0.05518,0.003303,6.401e-05,266.4,83.1,1.08
121,0.7173,0.0204,0.04199,0.002039,6.345e-05,315.4,129.4,1.089
