step,reward,mean_length,kl,step_time,grad_norm,lr
438,0.7705,330.9,0.1301,96.34,0.07227,2.885e-05
439,0.8083,322.5,0.1264,96.05,0.07568,2.863e-05
440,0.7695,318.2,0.1285,92.88,0.0791,2.841e-05
441,0.8037,317.9,0.1343,98.97,0.07178,2.82e-05
442,0.8113,340.1,0.1262,102.8,0.06885,2.798e-05
443,0.7785,351.1,0.1347,109.8,0.07471,2.776e-05
444,0.8078,365.6,0.1021,114.7,0.06689,2.755e-05
445,0.799,320.4,0.1406,107.5,0.07324,2.733e-05
446,0.7993,306.8,0.1369,91.51,0.07471,2.712e-05
447,0.7951,320.6,0.1448,93.76,0.07861,2.69e-05
448,0.8027,346.5,0.124,114.6,0.08838,2.669e-05
449,0.7869,331.4,0.1144,109.4,0.08057,2.648e-05
450,0.7582,343.7,0.1232,114.8,0.08643,2.626e-05
451,0.7773,340.4,0.1334,99.56,0.08398,2.605e-05
452,0.8115,337.2,0.1335,105.5,0.08252,2.584e-05
453,0.7929,346.5,0.1319,106.1,0.08545,2.563e-05
454,0.795,335.6,0.1323,111.9,0.07275,2.542e-05
455,0.7912,331.4,0.1163,117.2,0.07764,2.521e-05
456,0.8018,330.2,0.138,108.4,0.07666,2.5e-05
457,0.7946,310.4,0.1575,99.4,0.08594,2.479e-05
458,0.7645,353.1,0.1131,111.4,0.07129,2.458e-05
459,0.7875,321.3,0.1311,100.4,0.07471,2.438e-05
460,0.7996,353.6,0.1062,128.3,0.07812,2.417e-05
461,0.8059,332.6,0.1257,109.0,0.106,2.396e-05
462,0.7707,372.9,0.1104,126.2,0.07715,2.376e-05
463,0.8083,392.1,0.1184,126.6,0.06885,2.355e-05
464,0.7836,362.8,0.1295,109.3,0.08496,2.335e-05
465,0.8041,307.0,0.1486,94.55,0.08057,2.314e-05
466,0.8012,328.3,0.1375,106.2,0.0835,2.294e-05
467,0.7838,321.9,0.1195,101.5,0.07422,2.274e-05
468,0.7928,337.4,0.1421,97.72,0.07666,2.254e-05
469,0.7796,321.5,0.1251,95.54,0.08203,2.233e-05
470,0.7933,358.2,0.1459,126.2,0.1157,2.213e-05
471,0.8093,372.4,0.1313,108.7,0.07617,2.193e-05
472,0.7945,335.2,0.1463,100.5,0.06982,2.173e-05
473,0.7854,322.8,0.1356,104.7,0.08545,2.154e-05
474,0.802,327.8,0.1233,96.78,0.08105,2.134e-05
475,0.7899,324.9,0.1327,108.0,0.0791,2.114e-05
476,0.7759,320.9,0.1317,107.9,0.1001,2.094e-05
477,0.8031,352.9,0.1131,107.2,0.07959,2.075e-05
478,0.807,354.9,0.1309,107.9,0.07812,2.055e-05
479,0.7672,351.8,0.1316,111.1,0.07959,2.036e-05
480,0.8141,357.4,0.1485,119.0,0.08594,2.016e-05
481,0.7887,343.6,0.1325,111.6,0.0752,1.997e-05
482,0.7826,326.9,0.1115,99.96,0.07715,1.978e-05
483,0.8005,321.8,0.1338,95.17,0.07617,1.959e-05
484,0.7938,375.8,0.1169,112.6,0.07812,1.939e-05
485,0.7941,331.8,0.1255,100.8,0.07666,1.92e-05
486,0.7946,309.9,0.1407,102.9,0.07422,1.901e-05
487,0.756,402.4,0.1337,128.3,0.0791,1.883e-05
488,0.814,353.8,0.135,122.4,0.1055,1.864e-05
489,0.8029,363.6,0.1071,113.3,0.08398,1.845e-05
490,0.7818,360.5,0.1169,104.6,0.06689,1.826e-05
491,0.7969,374.0,0.1335,121.2,0.09473,1.808e-05
492,0.8042,376.6,0.1374,119.1,0.0791,1.789e-05
493,0.7915,357.9,0.1325,115.9,0.1035,1.771e-05
494,0.7859,355.4,0.1318,105.6,0.07764,1.752e-05
495,0.804,377.7,0.1161,121.4,0.0918,1.734e-05
496,0.7901,345.1,0.1297,97.19,0.07568,1.716e-05
497,0.7839,341.4,0.1201,111.7,0.08105,1.698e-05
498,0.819,368.8,0.1257,125.6,0.07031,1.68e-05
499,0.815,362.5,0.1249,116.3,0.07715,1.662e-05
500,0.7821,368.1,0.1258,112.5,0.07324,1.644e-05
501,0.8131,337.1,0.1352,104.5,0.08105,1.626e-05
502,0.8021,371.3,0.1396,125.7,0.08447,1.608e-05
503,0.7914,363.9,0.1089,108.9,0.0752,1.59e-05
504,0.8213,355.5,0.1204,113.7,0.07422,1.573e-05
505,0.7845,385.6,0.1254,125.9,0.07617,1.555e-05
506,0.7944,372.3,0.1227,120.0,0.06787,1.538e-05
507,0.7876,382.8,0.1422,113.7,0.0791,1.52e-05
508,0.7769,320.9,0.1578,106.6,0.07959,1.503e-05
509,0.7957,363.8,0.1293,108.6,0.07666,1.486e-05
510,0.7994,348.4,0.12,101.9,0.06226,1.469e-05
511,0.786,333.8,0.1375,110.5,0.07764,1.452e-05
512,0.7944,353.9,0.1282,106.7,0.06934,1.435e-05
513,0.7936,326.4,0.1263,108.0,0.08008,1.418e-05
514,0.8054,324.7,0.1406,112.3,0.07812,1.401e-05
515,0.798,354.1,0.1264,122.4,0.07568,1.384e-05
516,0.7934,379.6,0.1212,116.5,0.06934,1.368e-05
517,0.8013,319.1,0.1506,95.26,0.08398,1.351e-05
518,0.7925,366.8,0.131,107.5,0.06982,1.335e-05
519,0.7889,356.1,0.139,102.6,0.06543,1.318e-05
520,0.8074,365.2,0.1199,104.8,0.0708,1.302e-05
521,0.8082,349.8,0.1237,102.3,0.07666,1.286e-05
522,0.8072,342.2,0.1483,103.4,0.07812,1.27e-05
523,0.7658,341.4,0.155,106.8,0.07568,1.254e-05
524,0.8029,350.2,0.1396,109.3,0.08301,1.238e-05
525,0.8004,316.1,0.1521,96.55,0.07861,1.222e-05
526,0.8007,341.5,0.1349,102.0,0.0791,1.206e-05
527,0.8179,371.9,0.1392,120.2,0.07959,1.191e-05
528,0.7689,349.5,0.1167,104.2,0.08008,1.175e-05
529,0.8141,343.8,0.1341,110.4,0.07959,1.159e-05
530,0.7824,348.9,0.1188,105.3,0.08496,1.144e-05
531,0.7836,371.5,0.1215,106.4,0.07471,1.129e-05
532,0.7809,340.4,0.1521,108.0,0.07812,1.114e-05
533,0.8278,373.2,0.1194,110.6,0.06738,1.098e-05
534,0.7916,366.9,0.1176,108.9,0.09082,1.083e-05
535,0.8129,344.1,0.1428,101.6,0.07959,1.068e-05
536,0.8158,367.8,0.133,107.8,0.07812,1.054e-05
537,0.799,355.9,0.1314,112.9,0.07568,1.039e-05
538,0.7687,349.7,0.1361,124.7,0.07715,1.024e-05
539,0.8053,319.9,0.1584,99.07,0.07324,1.009e-05
540,0.7874,327.4,0.1419,101.5,0.09033,9.95e-06
541,0.807,357.4,0.1188,108.5,0.08447,9.806e-06
542,0.8281,328.3,0.1445,94.08,0.08203,9.663e-06
543,0.812,352.6,0.1275,108.0,0.07324,9.521e-06
544,0.7977,366.6,0.1347,117.6,0.06934,9.38e-06
545,0.8125,371.1,0.1131,123.8,0.06445,9.239e-06
546,0.8277,367.3,0.1286,107.6,0.08203,9.1e-06
547,0.793,327.3,0.1581,105.3,0.09766,8.962e-06
548,0.813,369.8,0.1388,125.7,0.07275,8.824e-06
549,0.8018,355.8,0.1227,124.0,0.08203,8.688e-06
550,0.818,340.9,0.1339,107.2,0.08496,8.553e-06
551,0.8022,349.8,0.1416,125.5,0.07471,8.418e-06
552,0.8001,394.4,0.1327,124.4,0.07568,8.285e-06
553,0.7908,386.1,0.121,116.8,0.07666,8.152e-06
554,0.8375,375.2,0.1162,112.8,0.07422,8.021e-06
555,0.7879,335.4,0.2347,97.61,0.375,7.89e-06
556,0.7832,345.9,0.1238,106.8,0.08154,7.76e-06
557,0.7667,356.4,0.2868,109.4,0.5195,7.632e-06
558,0.7761,394.4,0.1204,122.9,0.06689,7.504e-06
559,0.8054,366.2,0.1181,116.5,0.07178,7.377e-06
560,0.8153,354.9,0.1223,105.1,0.07471,7.252e-06
561,0.8009,348.6,0.1278,108.5,0.08008,7.127e-06
562,0.7967,379.4,0.1233,123.3,0.08301,7.003e-06
563,0.8022,381.6,0.123,110.0,0.07275,6.881e-06
564,0.7864,327.1,0.1553,111.7,0.06885,6.759e-06
565,0.8114,349.4,0.132,120.1,0.09326,6.639e-06
566,0.804,339.7,0.1122,101.6,0.08057,6.519e-06
567,0.7874,330.5,0.1373,119.3,0.09229,6.4e-06
568,0.8085,328.6,0.1204,94.54,0.08252,6.283e-06
569,0.7877,378.5,0.1311,125.0,0.07422,6.166e-06
570,0.7818,344.3,0.1474,105.5,0.07617,6.051e-06
571,0.7853,377.4,0.1257,128.5,0.07275,5.936e-06
572,0.8075,333.8,0.148,113.6,0.08447,5.822e-06
573,0.8045,325.3,0.137,103.1,0.07666,5.71e-06
574,0.7783,350.4,0.1312,115.7,0.07666,5.599e-06
575,0.7979,336.3,0.1247,127.3,0.08496,5.488e-06
576,0.8091,320.1,0.145,93.67,0.07764,5.379e-06
577,0.8029,334.9,0.1381,99.94,0.08105,5.27e-06
578,0.7488,377.7,0.09298,126.8,0.07812,5.163e-06
579,0.7885,337.7,0.1488,102.4,0.07861,5.057e-06
580,0.7886,396.6,0.1195,126.7,0.06934,4.952e-06
581,0.7851,343.8,0.1116,107.1,0.0791,4.847e-06
582,0.8168,358.1,0.1409,103.1,0.07812,4.744e-06
583,0.8142,345.9,0.1401,111.3,0.07324,4.642e-06
584,0.8082,354.2,0.1477,107.0,0.07617,4.541e-06
585,0.8026,344.2,0.1197,98.9,0.0708,4.441e-06
586,0.8202,352.4,0.1387,103.0,0.08057,4.342e-06
587,0.7985,350.6,0.1412,99.23,0.09131,4.245e-06
588,0.798,357.5,0.1172,106.4,0.0752,4.148e-06
589,0.7532,357.8,0.1443,123.9,0.07959,4.052e-06
590,0.8002,366.4,0.1135,126.9,0.07666,3.957e-06
591,0.8022,396.2,0.1128,121.4,0.08203,3.864e-06
592,0.8047,335.8,0.121,104.8,0.07324,3.771e-06
593,0.7947,351.1,0.1202,106.8,0.08301,3.68e-06
594,0.8,342.4,0.138,107.9,0.07568,3.59e-06
595,0.7817,343.8,0.1123,115.3,0.07178,3.501e-06
596,0.8021,344.4,0.1349,128.1,0.07227,3.412e-06
597,0.7925,318.2,0.1535,97.37,0.09033,3.325e-06
598,0.7849,334.8,0.1445,99.91,0.08105,3.239e-06
599,0.8095,316.4,0.1334,96.23,0.1064,3.154e-06
600,0.7855,344.9,0.1491,105.9,0.06592,3.071e-06
601,0.8044,318.6,0.1538,100.5,0.08252,2.988e-06
602,0.794,351.9,0.1326,108.9,0.08203,2.906e-06
603,0.8148,354.7,0.1547,114.5,0.09912,2.826e-06
604,0.7785,327.4,0.1291,98.84,0.08057,2.746e-06
605,0.799,354.9,0.113,107.0,0.07764,2.668e-06
606,0.7987,317.4,0.1287,91.1,0.07959,2.591e-06
607,0.7889,342.1,0.1248,106.4,0.06885,2.515e-06
608,0.8164,366.6,0.1417,110.1,0.08984,2.44e-06
609,0.795,361.4,0.124,110.1,0.0752,2.366e-06
610,0.8057,354.1,0.1215,111.1,0.06934,2.293e-06
611,0.789,355.1,0.1118,105.1,0.07227,2.221e-06
612,0.8104,334.4,0.1218,103.7,0.07373,2.151e-06
613,0.8009,346.8,0.135,99.69,0.07764,2.081e-06
614,0.7825,401.5,0.1071,117.2,0.0752,2.013e-06
615,0.7726,331.1,0.1457,100.8,0.08398,1.946e-06
616,0.8094,340.4,0.1468,112.6,0.0791,1.88e-06
617,0.7865,340.1,0.1328,122.5,0.06738,1.815e-06
618,0.8166,325.1,0.1054,100.4,0.09082,1.751e-06
619,0.7863,360.6,0.1188,119.7,0.09131,1.688e-06
620,0.793,303.2,0.1694,94.06,0.08936,1.627e-06
621,0.792,336.9,0.1279,101.2,0.08008,1.566e-06
622,0.7938,344.8,0.11,111.0,0.08301,1.507e-06
623,0.7989,346.4,0.1377,104.7,0.08057,1.448e-06
624,0.8075,365.2,0.1089,119.5,0.1992,1.391e-06
625,0.81,364.5,0.1241,112.9,0.1147,1.335e-06
626,0.8126,348.2,0.1277,103.7,0.0752,1.281e-06
627,0.8106,319.3,0.1434,95.69,0.0835,1.227e-06
628,0.798,334.9,0.1706,99.1,0.0708,1.174e-06
629,0.8245,380.8,0.1098,125.1,0.07959,1.123e-06
630,0.7972,355.2,0.1364,114.7,0.07422,1.073e-06
631,0.7513,356.2,0.1194,111.8,0.07568,1.024e-06
632,0.7896,322.2,0.143,97.86,0.07812,9.755e-07
633,0.7861,345.0,0.1119,101.4,0.1001,9.286e-07
634,0.7932,328.2,0.281,90.49,0.459,8.829e-07
635,0.7947,357.9,0.1121,105.4,0.07764,8.384e-07
636,0.8054,334.5,0.142,95.99,0.06396,7.949e-07
637,0.7566,349.1,0.1539,112.8,0.1602,7.526e-07
638,0.7518,359.1,0.1417,116.1,0.08057,7.115e-07
639,0.791,349.0,0.1265,107.9,0.0835,6.715e-07
640,0.8082,363.1,0.1232,105.4,0.06641,6.327e-07
641,0.8141,362.3,0.1341,109.1,0.09619,5.95e-07
642,0.7899,337.7,0.1346,106.6,0.07617,5.585e-07
643,0.8307,347.2,0.1204,100.6,0.08252,5.231e-07
644,0.8103,360.3,0.1134,109.8,0.07129,4.888e-07
645,0.7912,323.8,0.1477,99.74,0.07373,4.558e-07
646,0.7785,349.4,0.1184,103.2,0.07617,4.238e-07
647,0.7851,337.4,0.1279,101.3,0.07666,3.931e-07
648,0.8231,392.9,0.108,122.9,0.06396,3.634e-07
649,0.7743,389.8,0.1282,116.5,0.07666,3.35e-07
650,0.8104,390.5,0.1179,125.2,0.08008,3.077e-07
651,0.8033,327.9,0.133,103.9,0.1006,2.815e-07
652,0.7917,353.2,0.1385,107.7,0.1084,2.565e-07
653,0.8097,346.1,0.1605,108.3,0.1201,2.327e-07
654,0.8014,361.8,0.1134,124.1,0.08496,2.1e-07
655,0.7942,360.2,0.1283,109.0,0.07373,1.885e-07
656,0.7938,357.8,0.1254,113.8,0.07959,1.682e-07
657,0.798,367.9,0.117,117.4,0.06494,1.49e-07
658,0.8278,383.0,0.1044,117.6,0.06787,1.309e-07
659,0.8137,365.8,0.1185,109.9,0.07227,1.141e-07
660,0.7714,360.6,0.1277,123.0,0.06787,9.836e-08
661,0.8204,351.4,0.1201,100.2,0.07471,8.381e-08
662,0.7946,325.4,0.134,101.8,0.09082,7.043e-08
663,0.7774,364.8,0.1472,124.4,0.0874,5.821e-08
664,0.8066,341.6,0.128,121.1,0.07373,4.715e-08
665,0.7891,378.6,0.1096,120.0,0.07275,3.726e-08
666,0.7996,370.5,0.1182,123.6,0.07227,2.853e-08
667,0.806,363.2,0.1227,126.1,0.06738,2.096e-08
668,0.8047,357.2,0.1125,101.4,0.08545,1.455e-08
669,0.8144,372.5,0.1083,127.5,0.08008,9.315e-09
670,0.8091,360.1,0.1357,111.8,0.08203,5.24e-09
671,0.8063,331.4,0.1414,112.9,0.08594,2.329e-09
672,0.7898,380.4,0.1294,120.7,0.09814,5.822e-10
